time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric,xp,yp
2024-10-17 08:38:31.952562400+00:00,1,3,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:38:31.952562,300,1368
2024-10-17 08:39:38.608620600+00:00,1,1,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:39:38.608620,300,1368
2024-10-17 08:39:45.832622300+00:00,1,1,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:39:45.832622,300,1368
2024-10-17 08:40:03.157448400+00:00,1,2,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:40:03.157448,300,1368
2024-10-17 08:40:08.170180900+00:00,1,2,DTE Staff,3,11,300,1368,-65.0,-200.0,0,08:40:08.170180,300,1368
2024-10-17 08:40:27.631585400+00:00,1,3,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:40:27.631585,300,1368
2024-10-17 08:40:32.679718300+00:00,1,3,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:40:32.679718,300,1368
2024-10-17 08:40:52.057418800+00:00,1,4,DTE Staff,3,11,300,1368,-65.0,-200.0,0,08:40:52.057418,300,1368
2024-10-17 08:40:57.074161700+00:00,1,4,DTE Student,4,11,300,1368,-65.0,-200.0,0,08:40:57.074161,300,1368
2024-10-17 08:41:16.590208600+00:00,1,5,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:41:16.590208,300,1368
2024-10-17 08:41:21.595414900+00:00,1,5,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:41:21.595414,300,1368
2024-10-17 08:41:41.045572200+00:00,1,6,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:41:41.045572,300,1368
2024-10-17 08:41:46.015794800+00:00,1,6,DTE Staff,3,11,300,1368,-64.0,-200.0,0,08:41:46.015794,300,1368
2024-10-17 08:42:05.530078700+00:00,1,7,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:42:05.530078,300,1368
2024-10-17 08:42:10.536603500+00:00,1,7,DTE Staff,3,11,300,1368,-64.0,-200.0,0,08:42:10.536603,300,1368
2024-10-17 08:42:30.001785+00:00,1,8,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:42:30.001785,300,1368
2024-10-17 08:42:34.959663900+00:00,1,8,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:42:34.959663,300,1368
2024-10-17 08:42:55.723206+00:00,1,9,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:42:55.723206,300,1368
2024-10-17 08:43:00.729278400+00:00,1,9,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:43:00.729278,300,1368
2024-10-17 08:43:20.135254300+00:00,1,10,DTE Staff,3,11,300,1368,-61.0,-200.0,0,08:43:20.135254,300,1368
2024-10-17 08:43:25.134796400+00:00,1,10,DTE Student,4,11,300,1368,-61.0,-200.0,0,08:43:25.134796,300,1368
2024-10-17 08:43:44.653532200+00:00,1,11,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:43:44.653532,300,1368
2024-10-17 08:43:49.665094900+00:00,1,11,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:43:49.665094,300,1368
2024-10-17 08:44:12.046564300+00:00,1,12,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:44:12.046564,300,1368
2024-10-17 08:44:17.099038500+00:00,1,12,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:44:17.099038,300,1368
2024-10-17 08:44:36.584226500+00:00,1,13,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:44:36.584226,300,1368
2024-10-17 08:44:41.595999100+00:00,1,13,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:44:41.595999,300,1368
2024-10-17 08:45:01.000664400+00:00,1,14,DTE Staff,3,11,300,1368,-61.0,-200.0,0,08:45:01.000664,300,1368
2024-10-17 08:45:06.013886800+00:00,1,14,DTE Student,4,11,300,1368,-61.0,-200.0,0,08:45:06.013886,300,1368
2024-10-17 08:45:25.786074600+00:00,1,15,DTE Staff,3,11,300,1368,-60.0,-200.0,0,08:45:25.786074,300,1368
2024-10-17 08:45:30.803757400+00:00,1,15,DTE Student,4,11,300,1368,-60.0,-200.0,0,08:45:30.803757,300,1368
2024-10-17 08:45:50.280844900+00:00,1,16,DTE Student,4,11,300,1368,-61.0,-200.0,0,08:45:50.280844,300,1368
2024-10-17 08:45:55.302705700+00:00,1,16,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:45:55.302705,300,1368
2024-10-17 08:46:15.382998800+00:00,1,17,DTE Student,4,11,300,1368,-62.0,-200.0,0,08:46:15.382998,300,1368
2024-10-17 08:46:20.401236100+00:00,1,17,DTE Staff,3,11,300,1368,-62.0,-200.0,0,08:46:20.401236,300,1368
2024-10-17 08:46:39.817117500+00:00,1,18,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:46:39.817117,300,1368
2024-10-17 08:46:44.826613400+00:00,1,18,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:46:44.826613,300,1368
2024-10-17 08:47:04.293319200+00:00,1,19,DTE Staff,3,11,300,1368,-63.0,-200.0,0,08:47:04.293319,300,1368
2024-10-17 08:47:09.363863400+00:00,1,19,DTE Student,4,11,300,1368,-64.0,-200.0,0,08:47:09.363863,300,1368
2024-10-17 08:47:28.711772500+00:00,1,20,DTE Student,4,11,300,1368,-63.0,-200.0,0,08:47:28.711772,300,1368
2024-10-17 08:47:33.714594900+00:00,1,20,DTE Staff,3,11,300,1368,-64.0,-200.0,0,08:47:33.714594,300,1368
2024-10-17 08:52:51.454749400+00:00,2,1,DTE Student,4,11,300,1567,-61.0,-200.0,0,08:52:51.454749,300,1567
2024-10-17 08:52:56.708152100+00:00,2,1,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:52:56.708152,300,1567
2024-10-17 08:53:16.438135500+00:00,2,2,DTE Student,4,11,300,1567,-61.0,-200.0,0,08:53:16.438135,300,1567
2024-10-17 08:53:21.569064+00:00,2,2,DTE Staff,3,11,300,1567,-61.0,-200.0,0,08:53:21.569064,300,1567
2024-10-17 08:53:41.232236600+00:00,2,3,DTE Staff,3,11,300,1567,-61.0,-200.0,0,08:53:41.232236,300,1567
2024-10-17 08:53:46.146274400+00:00,2,3,DTE Student,4,11,300,1567,-61.0,-200.0,0,08:53:46.146274,300,1567
2024-10-17 08:54:05.799626200+00:00,2,4,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:54:05.799626,300,1567
2024-10-17 08:54:10.902576+00:00,2,4,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:54:10.902576,300,1566
2024-10-17 08:54:31.388417700+00:00,2,5,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:54:31.388417,300,1567
2024-10-17 08:54:36.312498100+00:00,2,5,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:54:36.312498,300,1567
2024-10-17 08:54:55.880359400+00:00,2,6,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:54:55.880359,300,1567
2024-10-17 08:55:00.785953600+00:00,2,6,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:00.785953,300,1567
2024-10-17 08:55:20.340017100+00:00,2,7,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:20.340017,300,1567
2024-10-17 08:55:27.510045500+00:00,2,7,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:55:27.510045,300,1566
2024-10-17 08:55:52.707442700+00:00,2,8,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:52.707442,300,1567
2024-10-17 08:55:57.719036900+00:00,2,8,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:55:57.719036,300,1566
2024-10-17 08:56:17.247989+00:00,2,9,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:56:17.247989,300,1567
2024-10-17 08:56:22.282044+00:00,2,9,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:56:22.282044,300,1567
2024-10-17 08:56:42.366219300+00:00,2,10,DTE Student,4,11,300,1567,-61.0,-200.0,0,08:56:42.366219,300,1567
2024-10-17 08:56:47.284399700+00:00,2,10,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:56:47.284399,300,1567
2024-10-17 08:57:06.733611300+00:00,2,11,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:57:06.733611,300,1566
2024-10-17 08:57:13.697816800+00:00,2,11,DTE Staff,3,11,300,1567,-63.0,-200.0,0,08:57:13.697816,300,1566
2024-10-17 08:57:31.115539600+00:00,2,12,DTE Staff,3,11,300,1567,-61.0,-200.0,0,08:57:31.115539,300,1567
2024-10-17 08:57:36.113945+00:00,2,12,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:57:36.113945,300,1567
2024-10-17 08:57:56.004387400+00:00,2,13,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:57:56.004387,300,1567
2024-10-17 08:58:01.226280500+00:00,2,13,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:58:01.226280,300,1567
2024-10-17 08:58:20.372104400+00:00,2,14,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:58:20.372104,300,1567
2024-10-17 08:58:25.397589+00:00,2,14,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:58:25.397589,300,1566
2024-10-17 08:58:45.252782700+00:00,2,15,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:58:45.252782,300,1567
2024-10-17 08:58:50.372180+00:00,2,15,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:58:50.372180,300,1567
2024-10-17 08:59:09.822556300+00:00,2,16,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:59:09.822556,300,1566
2024-10-17 08:59:14.871661600+00:00,2,16,DTE Staff,3,11,300,1567,-63.0,-200.0,0,08:59:14.871661,300,1566
2024-10-17 08:59:45.863721300+00:00,2,17,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:59:45.863721,300,1567
2024-10-17 08:59:48.120355500+00:00,2,17,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:59:48.120355,300,1567
2024-10-17 09:00:12.813550900+00:00,2,18,DTE Staff,3,11,300,1567,-63.0,-200.0,0,09:00:12.813550,300,1566
2024-10-17 09:00:17.716274900+00:00,2,18,DTE Student,4,11,300,1567,-63.0,-200.0,0,09:00:17.716274,300,1566
2024-10-17 09:00:37.681606400+00:00,2,19,DTE Staff,3,11,300,1567,-62.0,-200.0,0,09:00:37.681606,300,1567
2024-10-17 09:00:42.709509400+00:00,2,19,DTE Student,4,11,300,1567,-63.0,-200.0,0,09:00:42.709509,300,1566
2024-10-17 09:01:03.298856600+00:00,2,20,DTE Student,4,11,300,1567,-67.0,-200.0,0,09:01:03.298856,300,1566
2024-10-17 09:01:08.301642100+00:00,2,20,DTE Staff,3,11,300,1567,-67.0,-200.0,0,09:01:08.301642,300,1566
2024-10-17 09:02:32.025351+00:00,2,1,DTE Student,4,11,300,1567,-65.0,-200.0,0,09:02:32.025351,300,1566
2024-10-17 09:02:37.041505800+00:00,2,1,DTE Staff,3,11,300,1567,-65.0,-200.0,0,09:02:37.041505,300,1566
2024-10-17 09:02:56.563870800+00:00,2,2,DTE Staff,3,11,300,1567,-71.0,-200.0,0,09:02:56.563870,300,1567
2024-10-17 09:03:01.566470500+00:00,2,2,DTE Student,4,11,300,1567,-71.0,-200.0,0,09:03:01.566470,300,1567
2024-10-17 09:03:20.990605100+00:00,2,3,DTE Staff,3,11,300,1567,-64.0,-200.0,0,09:03:20.990605,300,1566
2024-10-17 09:03:26.005802400+00:00,2,3,DTE Student,4,11,300,1567,-65.0,-200.0,0,09:03:26.005802,300,1566
2024-10-17 09:03:45.507523400+00:00,2,4,DTE Student,4,11,300,1567,-64.0,-200.0,0,09:03:45.507523,300,1566
2024-10-17 09:03:50.521189800+00:00,2,4,DTE Staff,3,11,300,1567,-65.0,-200.0,0,09:03:50.521189,300,1566
2024-10-17 09:04:25.479294700+00:00,3,1,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:04:25.479294,300,1749
2024-10-17 09:04:30.497186200+00:00,3,1,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:04:30.497186,300,1749
2024-10-17 09:04:49.873918200+00:00,3,2,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:04:49.873918,300,1749
2024-10-17 09:04:56.793987200+00:00,3,2,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:04:56.793987,300,1749
2024-10-17 09:05:14.267131500+00:00,3,3,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:05:14.267131,300,1750
2024-10-17 09:05:19.288643700+00:00,3,3,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:05:19.288643,300,1750
2024-10-17 09:05:38.698607600+00:00,3,4,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:05:38.698607,300,1749
2024-10-17 09:05:43.719521300+00:00,3,4,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:05:43.719521,300,1749
2024-10-17 09:06:03.090226600+00:00,3,5,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:06:03.090226,300,1749
2024-10-17 09:06:08.100473600+00:00,3,5,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:06:08.100473,300,1749
2024-10-17 09:06:22.379064400+00:00,3,6,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:06:22.379064,300,1749
2024-10-17 09:06:27.395655300+00:00,3,6,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:06:27.395655,300,1749
2024-10-17 09:06:46.853621500+00:00,3,7,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:06:46.853621,300,1749
2024-10-17 09:06:51.845757+00:00,3,7,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:06:51.845757,300,1749
2024-10-17 09:07:11.235964100+00:00,3,8,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:07:11.235964,300,1749
2024-10-17 09:07:16.250514+00:00,3,8,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:07:16.250514,300,1749
2024-10-17 09:07:35.695789600+00:00,3,9,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:07:35.695789,300,1749
2024-10-17 09:07:40.660337400+00:00,3,9,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:07:40.660337,300,1750
2024-10-17 09:08:00.032211+00:00,3,10,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:08:00.032211,300,1749
2024-10-17 09:08:05.044557600+00:00,3,10,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:08:05.044557,300,1749
2024-10-17 09:08:28.466340200+00:00,3,11,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:08:28.466340,300,1749
2024-10-17 09:08:33.457621400+00:00,3,11,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:08:33.457621,300,1750
2024-10-17 09:08:52.873161600+00:00,3,12,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:08:52.873161,300,1749
2024-10-17 09:08:57.866677400+00:00,3,12,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:08:57.866677,300,1749
2024-10-17 09:09:17.262996400+00:00,3,13,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:09:17.262996,300,1749
2024-10-17 09:09:22.273543600+00:00,3,13,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:09:22.273543,300,1749
2024-10-17 09:09:41.659124600+00:00,3,14,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:09:41.659124,300,1749
2024-10-17 09:09:46.677391600+00:00,3,14,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:09:46.677391,300,1749
2024-10-17 09:10:06.064218200+00:00,3,15,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:10:06.064218,300,1750
2024-10-17 09:10:11.079627600+00:00,3,15,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:10:11.079627,300,1750
2024-10-17 09:10:30.484750400+00:00,3,16,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:10:30.484750,300,1749
2024-10-17 09:10:35.509293900+00:00,3,16,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:10:35.509293,300,1749
2024-10-17 09:10:57.631415+00:00,3,17,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:10:57.631415,300,1749
2024-10-17 09:10:59.891390500+00:00,3,17,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:10:59.891390,300,1749
2024-10-17 09:11:19.286119+00:00,3,18,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:11:19.286119,300,1749
2024-10-17 09:11:24.309002700+00:00,3,18,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:11:24.309002,300,1749
2024-10-17 09:11:43.671846200+00:00,3,19,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:11:43.671846,300,1749
2024-10-17 09:11:48.684222300+00:00,3,19,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:11:48.684222,300,1749
2024-10-17 09:12:12.135048600+00:00,3,20,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:12:12.135048,300,1749
2024-10-17 09:12:17.132994900+00:00,3,20,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:12:17.132994,300,1750
2024-10-17 09:14:44.518435500+00:00,4,1,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:14:44.518435,300,1948
2024-10-17 09:14:49.538017400+00:00,4,1,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:14:49.538017,300,1948
2024-10-17 09:15:08.945420400+00:00,4,2,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:15:08.945420,300,1948
2024-10-17 09:15:13.959943100+00:00,4,2,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:15:13.959943,300,1948
2024-10-17 09:15:33.366457700+00:00,4,3,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:15:33.366457,300,1948
2024-10-17 09:15:38.386672900+00:00,4,3,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:15:38.386672,300,1948
2024-10-17 09:15:43.392599100+00:00,4,3,DTE Staff,2,1,300,1948,-200.0,-96.0,0,09:15:43.392599,300,1943
2024-10-17 09:16:04.372526700+00:00,4,4,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:16:04.372526,300,1948
2024-10-17 09:16:09.374034800+00:00,4,4,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:16:09.374034,300,1948
2024-10-17 09:16:14.394288100+00:00,4,4,DTE Staff,1,1,300,1948,-200.0,-94.0,0,09:16:14.394288,300,1947
2024-10-17 09:16:33.792411+00:00,4,5,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:16:33.792411,300,1948
2024-10-17 09:16:40.649367300+00:00,4,5,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:16:40.649367,300,1948
2024-10-17 09:16:58.196409600+00:00,4,6,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:16:58.196409,300,1948
2024-10-17 09:17:03.204789900+00:00,4,6,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:17:03.204789,300,1948
2024-10-17 09:17:22.621237200+00:00,4,7,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:17:22.621237,300,1948
2024-10-17 09:17:27.617239900+00:00,4,7,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:17:27.617239,300,1948
2024-10-17 09:17:32.626280700+00:00,4,7,DTE Staff,1,1,300,1948,-200.0,-96.0,0,09:17:32.626280,300,1950
2024-10-17 09:17:52.043564500+00:00,4,8,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:17:52.043564,300,1948
2024-10-17 09:17:57.056934900+00:00,4,8,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:17:57.056934,300,1948
2024-10-17 09:18:16.434144900+00:00,4,9,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:18:16.434144,300,1948
2024-10-17 09:18:21.444598500+00:00,4,9,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:18:21.444598,300,1948
2024-10-17 09:18:40.840600400+00:00,4,10,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:18:40.840600,300,1948
2024-10-17 09:18:45.841456300+00:00,4,10,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:18:45.841456,300,1948
2024-10-17 09:18:50.850288700+00:00,4,10,DTE Staff,1,1,300,1948,-200.0,-95.0,0,09:18:50.850288,300,1949
2024-10-17 09:19:10.265611500+00:00,4,11,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:19:10.265611,300,1948
2024-10-17 09:19:15.268392800+00:00,4,11,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:19:15.268392,300,1948
2024-10-17 09:19:34.672240+00:00,4,12,DTE Student,4,11,300,1948,-63.0,-200.0,0,09:19:34.672240,300,1948
2024-10-17 09:19:39.681709600+00:00,4,12,DTE Staff,3,11,300,1948,-63.0,-200.0,0,09:19:39.681709,300,1948
2024-10-17 09:19:44.702557500+00:00,4,12,DTE Staff,1,1,300,1948,-200.0,-95.0,0,09:19:44.702557,300,1949
2024-10-17 09:20:04.091648400+00:00,4,13,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:20:04.091648,300,1948
2024-10-17 09:20:09.107257700+00:00,4,13,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:20:09.107257,300,1948
2024-10-17 09:20:29.760169100+00:00,4,14,DTE Staff,3,11,300,1948,-64.0,-200.0,0,09:20:29.760169,300,1948
2024-10-17 09:20:34.758345800+00:00,4,14,DTE Student,4,11,300,1948,-64.0,-200.0,0,09:20:34.758345,300,1948
