time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric
2024-10-17 09:54:03.463157500+00:00,8,1,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:54:03.463157
2024-10-17 09:54:06.615076400+00:00,8,1,DTE Student,4,11,529,1749,-70.0,-200.0,0,09:54:06.615076
2024-10-17 09:54:22.079802900+00:00,8,2,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:54:22.079802
2024-10-17 09:54:25.154440+00:00,8,2,DTE Staff,3,11,529,1749,-70.0,-200.0,0,09:54:25.154440
2024-10-17 09:54:40.508980+00:00,8,3,DTE Staff,3,11,529,1749,-70.0,-200.0,0,09:54:40.508980
2024-10-17 09:54:43.501077200+00:00,8,3,DTE Student,4,11,529,1749,-70.0,-200.0,0,09:54:43.501077
2024-10-17 09:54:59.551224800+00:00,8,4,DTE Student,4,11,529,1749,-69.0,-200.0,0,09:54:59.551224
2024-10-17 09:55:02.521613300+00:00,8,4,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:55:02.521613
2024-10-17 09:55:18.601417500+00:00,8,5,DTE Staff,3,11,529,1749,-65.0,-200.0,0,09:55:18.601417
2024-10-17 09:55:21.575438200+00:00,8,5,DTE Student,4,11,529,1749,-65.0,-200.0,0,09:55:21.575438
2024-10-17 09:55:37.017453100+00:00,8,6,DTE Student,4,11,529,1749,-69.0,-200.0,0,09:55:37.017453
2024-10-17 09:55:39.931770400+00:00,8,6,DTE Staff,3,11,529,1749,-71.0,-200.0,0,09:55:39.931770
2024-10-17 09:55:55.688819400+00:00,8,7,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:55:55.688819
2024-10-17 09:55:58.774106600+00:00,8,7,DTE Staff,3,11,529,1749,-68.0,-200.0,0,09:55:58.774106
2024-10-17 09:56:14.209035900+00:00,8,8,DTE Student,4,11,529,1749,-67.0,-200.0,0,09:56:14.209035
2024-10-17 09:56:17.278276200+00:00,8,8,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:56:17.278276
2024-10-17 09:56:32.853301100+00:00,8,9,DTE Staff,3,11,529,1749,-67.0,-200.0,0,09:56:32.853301
2024-10-17 09:56:35.920038900+00:00,8,9,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:56:35.920038
2024-10-17 09:56:51.691415600+00:00,8,10,DTE Staff,3,11,529,1749,-70.0,-200.0,0,09:56:51.691415
2024-10-17 09:56:54.657490800+00:00,8,10,DTE Student,4,11,529,1749,-70.0,-200.0,0,09:56:54.657490
2024-10-17 09:57:12.471909200+00:00,8,11,DTE Student,4,11,529,1749,-64.0,-200.0,0,09:57:12.471909
2024-10-17 09:57:13.191773200+00:00,8,11,DTE Staff,3,11,529,1749,-64.0,-200.0,0,09:57:13.191773
2024-10-17 09:57:28.662999300+00:00,8,12,DTE Staff,3,11,529,1749,-69.0,-200.0,0,09:57:28.662999
2024-10-17 09:57:31.825922+00:00,8,12,DTE Student,4,11,529,1749,-69.0,-200.0,0,09:57:31.825922
2024-10-17 09:57:47.085590900+00:00,8,13,DTE Student,4,11,529,1749,-68.0,-200.0,0,09:57:47.085590
2024-10-17 09:57:50.159182+00:00,8,13,DTE Staff,3,11,529,1749,-68.0,-200.0,0,09:57:50.159182
2024-10-17 09:58:05.536223100+00:00,8,14,DTE Student,4,11,529,1749,-71.0,-200.0,0,09:58:05.536223
2024-10-17 09:58:08.589859600+00:00,8,14,DTE Staff,3,11,529,1749,-71.0,-200.0,0,09:58:08.589859
2024-10-17 09:58:26.099687500+00:00,8,15,DTE Student,4,11,529,1749,-67.0,-200.0,0,09:58:26.099687
2024-10-17 09:58:27.045740500+00:00,8,15,DTE Staff,3,11,529,1749,-67.0,-200.0,0,09:58:27.045740
