time,reference_point,iteration,ssid,bssid,channel,xr,yr,rssi_ap_digilab,rssi_ap_dosen,relative_position,time_numeric
2024-10-17 08:54:55.880359400+00:00,2,6,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:54:55.880359
2024-10-17 08:55:00.785953600+00:00,2,6,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:00.785953
2024-10-17 08:55:20.340017100+00:00,2,7,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:20.340017
2024-10-17 08:55:27.510045500+00:00,2,7,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:55:27.510045
2024-10-17 08:55:52.707442700+00:00,2,8,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:55:52.707442
2024-10-17 08:55:57.719036900+00:00,2,8,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:55:57.719036
2024-10-17 08:56:17.247989+00:00,2,9,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:56:17.247989
2024-10-17 08:56:22.282044+00:00,2,9,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:56:22.282044
2024-10-17 08:56:42.366219300+00:00,2,10,DTE Student,4,11,300,1567,-61.0,-200.0,0,08:56:42.366219
2024-10-17 08:56:47.284399700+00:00,2,10,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:56:47.284399
2024-10-17 08:57:06.733611300+00:00,2,11,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:57:06.733611
2024-10-17 08:57:13.697816800+00:00,2,11,DTE Staff,3,11,300,1567,-63.0,-200.0,0,08:57:13.697816
2024-10-17 08:57:31.115539600+00:00,2,12,DTE Staff,3,11,300,1567,-61.0,-200.0,0,08:57:31.115539
2024-10-17 08:57:36.113945+00:00,2,12,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:57:36.113945
2024-10-17 08:57:56.004387400+00:00,2,13,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:57:56.004387
2024-10-17 08:58:01.226280500+00:00,2,13,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:58:01.226280
2024-10-17 08:58:20.372104400+00:00,2,14,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:58:20.372104
2024-10-17 08:58:25.397589+00:00,2,14,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:58:25.397589
2024-10-17 08:58:45.252782700+00:00,2,15,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:58:45.252782
2024-10-17 08:58:50.372180+00:00,2,15,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:58:50.372180
2024-10-17 08:59:09.822556300+00:00,2,16,DTE Student,4,11,300,1567,-63.0,-200.0,0,08:59:09.822556
2024-10-17 08:59:14.871661600+00:00,2,16,DTE Staff,3,11,300,1567,-63.0,-200.0,0,08:59:14.871661
2024-10-17 08:59:45.863721300+00:00,2,17,DTE Staff,3,11,300,1567,-62.0,-200.0,0,08:59:45.863721
2024-10-17 08:59:48.120355500+00:00,2,17,DTE Student,4,11,300,1567,-62.0,-200.0,0,08:59:48.120355
2024-10-17 09:00:12.813550900+00:00,2,18,DTE Staff,3,11,300,1567,-63.0,-200.0,0,09:00:12.813550
2024-10-17 09:00:17.716274900+00:00,2,18,DTE Student,4,11,300,1567,-63.0,-200.0,0,09:00:17.716274
2024-10-17 09:00:37.681606400+00:00,2,19,DTE Staff,3,11,300,1567,-62.0,-200.0,0,09:00:37.681606
2024-10-17 09:00:42.709509400+00:00,2,19,DTE Student,4,11,300,1567,-63.0,-200.0,0,09:00:42.709509
2024-10-17 09:01:03.298856600+00:00,2,20,DTE Student,4,11,300,1567,-67.0,-200.0,0,09:01:03.298856
2024-10-17 09:01:08.301642100+00:00,2,20,DTE Staff,3,11,300,1567,-67.0,-200.0,0,09:01:08.301642
2024-10-17 09:02:32.025351+00:00,2,1,DTE Student,4,11,300,1567,-65.0,-200.0,0,09:02:32.025351
2024-10-17 09:02:37.041505800+00:00,2,1,DTE Staff,3,11,300,1567,-65.0,-200.0,0,09:02:37.041505
2024-10-17 09:02:56.563870800+00:00,2,2,DTE Staff,3,11,300,1567,-71.0,-200.0,0,09:02:56.563870
2024-10-17 09:03:01.566470500+00:00,2,2,DTE Student,4,11,300,1567,-71.0,-200.0,0,09:03:01.566470
2024-10-17 09:03:20.990605100+00:00,2,3,DTE Staff,3,11,300,1567,-64.0,-200.0,0,09:03:20.990605
2024-10-17 09:03:26.005802400+00:00,2,3,DTE Student,4,11,300,1567,-65.0,-200.0,0,09:03:26.005802
2024-10-17 09:03:45.507523400+00:00,2,4,DTE Student,4,11,300,1567,-64.0,-200.0,0,09:03:45.507523
2024-10-17 09:03:50.521189800+00:00,2,4,DTE Staff,3,11,300,1567,-65.0,-200.0,0,09:03:50.521189
2024-10-17 09:04:25.479294700+00:00,3,1,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:04:25.479294
2024-10-17 09:04:30.497186200+00:00,3,1,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:04:30.497186
2024-10-17 09:04:49.873918200+00:00,3,2,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:04:49.873918
2024-10-17 09:04:56.793987200+00:00,3,2,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:04:56.793987
2024-10-17 09:05:14.267131500+00:00,3,3,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:05:14.267131
2024-10-17 09:05:19.288643700+00:00,3,3,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:05:19.288643
2024-10-17 09:05:38.698607600+00:00,3,4,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:05:38.698607
2024-10-17 09:05:43.719521300+00:00,3,4,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:05:43.719521
2024-10-17 09:06:03.090226600+00:00,3,5,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:06:03.090226
2024-10-17 09:06:08.100473600+00:00,3,5,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:06:08.100473
2024-10-17 09:06:22.379064400+00:00,3,6,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:06:22.379064
2024-10-17 09:06:27.395655300+00:00,3,6,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:06:27.395655
2024-10-17 09:06:46.853621500+00:00,3,7,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:06:46.853621
2024-10-17 09:06:51.845757+00:00,3,7,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:06:51.845757
2024-10-17 09:07:11.235964100+00:00,3,8,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:07:11.235964
2024-10-17 09:07:16.250514+00:00,3,8,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:07:16.250514
2024-10-17 09:07:35.695789600+00:00,3,9,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:07:35.695789
2024-10-17 09:07:40.660337400+00:00,3,9,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:07:40.660337
2024-10-17 09:08:00.032211+00:00,3,10,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:08:00.032211
2024-10-17 09:08:05.044557600+00:00,3,10,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:08:05.044557
2024-10-17 09:08:28.466340200+00:00,3,11,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:08:28.466340
2024-10-17 09:08:33.457621400+00:00,3,11,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:08:33.457621
2024-10-17 09:08:52.873161600+00:00,3,12,DTE Staff,3,11,300,1749,-63.0,-200.0,0,09:08:52.873161
2024-10-17 09:08:57.866677400+00:00,3,12,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:08:57.866677
2024-10-17 09:09:17.262996400+00:00,3,13,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:09:17.262996
2024-10-17 09:09:22.273543600+00:00,3,13,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:09:22.273543
2024-10-17 09:09:41.659124600+00:00,3,14,DTE Student,4,11,300,1749,-63.0,-200.0,0,09:09:41.659124
2024-10-17 09:09:46.677391600+00:00,3,14,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:09:46.677391
2024-10-17 09:10:06.064218200+00:00,3,15,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:10:06.064218
2024-10-17 09:10:11.079627600+00:00,3,15,DTE Staff,3,11,300,1749,-65.0,-200.0,0,09:10:11.079627
2024-10-17 09:10:30.484750400+00:00,3,16,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:10:30.484750
2024-10-17 09:10:35.509293900+00:00,3,16,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:10:35.509293
2024-10-17 09:10:57.631415+00:00,3,17,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:10:57.631415
2024-10-17 09:10:59.891390500+00:00,3,17,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:10:59.891390
2024-10-17 09:11:19.286119+00:00,3,18,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:11:19.286119
2024-10-17 09:11:24.309002700+00:00,3,18,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:11:24.309002
2024-10-17 09:11:43.671846200+00:00,3,19,DTE Student,4,11,300,1749,-64.0,-200.0,0,09:11:43.671846
2024-10-17 09:11:48.684222300+00:00,3,19,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:11:48.684222
2024-10-17 09:12:12.135048600+00:00,3,20,DTE Staff,3,11,300,1749,-64.0,-200.0,0,09:12:12.135048
2024-10-17 09:12:17.132994900+00:00,3,20,DTE Student,4,11,300,1749,-65.0,-200.0,0,09:12:17.132994
2024-10-17 09:37:01.318664700+00:00,6,1,DTE Staff,3,11,529,1368,-67.0,-200.0,0,09:37:01.318664
