,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,72:A7:41:9C:8E:55,11,LAUREN,11,RP111,-71,DTE IoT,2025-03-12T05:00:35.8851547Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,12,RP111,-73,DTE IoT,2025-03-12T05:01:01.2507726Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,13,RP111,-71,DTE IoT,2025-03-12T05:01:23.8908267Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,14,RP111,-72,DTE IoT,2025-03-12T05:01:51.5273435Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,15,RP111,-68,DTE IoT,2025-03-12T05:02:13.3944893Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,16,RP111,-71,DTE IoT,2025-03-12T05:02:38.372864Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,17,RP111,-73,DTE IoT,2025-03-12T05:03:06.0479647Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,18,RP111,-73,DTE IoT,2025-03-12T05:03:28.727275Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,19,RP111,-72,DTE IoT,2025-03-12T05:03:56.8577498Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,2,RP111,-70,DTE IoT,2025-03-12T04:56:42.1247547Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,20,RP111,-71,DTE IoT,2025-03-12T05:04:19.330673Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,3,RP111,-72,DTE IoT,2025-03-12T04:57:12.0355942Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,4,RP111,-71,DTE IoT,2025-03-12T04:57:36.3140957Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,5,RP111,-71,DTE IoT,2025-03-12T04:58:02.7148121Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,6,RP111,-71,DTE IoT,2025-03-12T04:58:31.4649164Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,7,RP111,-72,DTE IoT,2025-03-12T04:58:56.8979794Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,8,RP111,-71,DTE IoT,2025-03-12T04:59:18.5928321Z,esp/topic,1290,134
,72:A7:41:9C:8E:55,11,LAUREN,9,RP111,-71,DTE IoT,2025-03-12T04:59:43.3220741Z,esp/topic,1290,134
,70:A7:41:DC:8E:55,11,LAUREN,1,RP112,-81,DTE Staff,2025-03-12T05:17:06.8926104Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,10,RP112,-81,DTE Staff,2025-03-12T05:20:39.4154086Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,11,RP112,-80,DTE Staff,2025-03-12T05:21:01.2989691Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,12,RP112,-81,DTE Staff,2025-03-12T05:21:26.011492Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,14,RP112,-82,DTE Staff,2025-03-12T05:22:15.8937845Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,15,RP112,-83,DTE Staff,2025-03-12T05:22:41.0795178Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,16,RP112,-81,DTE Staff,2025-03-12T05:23:05.740585Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,18,RP112,-83,DTE Staff,2025-03-12T05:23:49.4792863Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,20,RP112,-82,DTE Staff,2025-03-12T05:24:35.8863188Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,5,RP112,-81,DTE Staff,2025-03-12T05:18:35.1733498Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,6,RP112,-80,DTE Staff,2025-03-12T05:18:56.6774793Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,7,RP112,-82,DTE Staff,2025-03-12T05:19:21.3040922Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,8,RP112,-81,DTE Staff,2025-03-12T05:19:49.8558812Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,9,RP112,-81,DTE Staff,2025-03-12T05:20:14.697036Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,10,RP112,-80,DTE IoT,2025-03-12T05:20:36.3999064Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,11,RP112,-81,DTE IoT,2025-03-12T05:21:04.4087859Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,12,RP112,-82,DTE IoT,2025-03-12T05:21:28.960882Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,13,RP112,-80,DTE IoT,2025-03-12T05:21:52.6891733Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,15,RP112,-82,DTE IoT,2025-03-12T05:22:38.0171711Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,16,RP112,-81,DTE IoT,2025-03-12T05:23:02.7792114Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,17,RP112,-86,DTE IoT,2025-03-12T05:23:27.4702715Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,18,RP112,-84,DTE IoT,2025-03-12T05:23:52.4536862Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,19,RP112,-82,DTE IoT,2025-03-12T05:24:14.0785703Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,2,RP112,-78,DTE IoT,2025-03-12T05:17:28.3423476Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,20,RP112,-82,DTE IoT,2025-03-12T05:24:38.9021436Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,4,RP112,-80,DTE IoT,2025-03-12T05:18:10.3344883Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,5,RP112,-80,DTE IoT,2025-03-12T05:18:32.179434Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,6,RP112,-80,DTE IoT,2025-03-12T05:18:59.6540951Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,7,RP112,-83,DTE IoT,2025-03-12T05:19:24.3529647Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,8,RP112,-80,DTE IoT,2025-03-12T05:19:46.8663583Z,esp/topic,1290,299
,72:A7:41:9C:8E:55,11,LAUREN,9,RP112,-81,DTE IoT,2025-03-12T05:20:11.6882551Z,esp/topic,1290,299
,70:A7:41:DC:8E:55,11,LAUREN,10,RP116,-87,DTE Staff,2025-03-12T07:24:47.8117922Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,11,RP116,-84,DTE Staff,2025-03-12T07:25:12.5223884Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,12,RP116,-91,DTE Staff,2025-03-12T07:25:37.1278842Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,13,RP116,-88,DTE Staff,2025-03-12T07:25:58.7266711Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,14,RP116,-88,DTE Staff,2025-03-12T07:26:23.9714351Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,15,RP116,-87,DTE Staff,2025-03-12T07:26:48.3915375Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,16,RP116,-83,DTE Staff,2025-03-12T07:27:10.1062932Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,17,RP116,-86,DTE Staff,2025-03-12T07:27:37.6525431Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,18,RP116,-83,DTE Staff,2025-03-12T07:27:58.9526661Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,19,RP116,-82,DTE Staff,2025-03-12T07:28:26.6223918Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,2,RP116,-82,DTE Staff,2025-03-12T07:21:19.4527919Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,20,RP116,-85,DTE Staff,2025-03-12T07:28:51.1667837Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,3,RP116,-80,DTE Staff,2025-03-12T07:01:02.0088823Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,3,RP116,-87,DTE Staff,2025-03-12T07:21:58.0525909Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,4,RP116,-84,DTE Staff,2025-03-12T07:22:19.8445541Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,5,RP116,-82,DTE Staff,2025-03-12T07:02:00.9777804Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,5,RP116,-84,DTE Staff,2025-03-12T07:22:44.3419895Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,6,RP116,-79,DTE Staff,2025-03-12T07:02:28.0502857Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,6,RP116,-84,DTE Staff,2025-03-12T07:23:09.003579Z,esp/topic,1520,134
,70:A7:41:DC:8E:55,11,LAUREN,8,RP116,-87,DTE Staff,2025-03-12T07:23:57.980977Z,esp/topic,1520,134
